,Lattice,Reward,Zoom,"Δ: D[0,4], l=0","Δ: B[0,2], l=2","Δ: B[0,2], l=4","Δ: B[0,2], l=6","Δ: B[0,2], l=8","Δ: B[0,2], l=10","Δ: B[0,2], l=12","Δ: B[0,2], l=14","Δ: B[0,2], l=16","Δ: B[0,2], l=18","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=10","Δ: L[0,0], l=10","Δ: L[0,0], l=10","Δ: L[0,0], l=12","Δ: L[0,0], l=12","λ²: D[0,4], l=0","λ²: B[0,2], l=2","λ²: B[0,2], l=4","λ²: B[0,2], l=6","λ²: B[0,2], l=8","λ²: B[0,2], l=10","λ²: B[0,2], l=12","λ²: B[0,2], l=14","λ²: B[0,2], l=16","λ²: B[0,2], l=18","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=10","λ²: L[0,0], l=10","λ²: L[0,0], l=10","λ²: L[0,0], l=12","λ²: L[0,0], l=12"
40,44.0,573.1270127646535,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.072649232474449,9.964677023027082,11.906210766772965,13.97348735163826,16.030394517922474,17.89395015181831,19.999894990996104,21.94299593935173,10.025670648276511,11.92530613672757,14.022460809886203,16.001437970289892,17.96437036706388,19.952668658472064,21.99565715301879,12.0161769753202,13.948692787950376,15.970965325113127,17.950409075650832,20.006974355981427,21.950858410544114,14.02001785798441,15.918729076607288,18.02857367472288,19.96219176151825,22.020867691284387,15.982626332117764,17.949716695756905,20.052183882039863,21.93168688106808,18.00598543214304,19.909673967014548,21.941826699602014,19.960607898584158,21.988734917431444,1.7682980771021557,10.907711169748504,19.694230062326856,21.578945477794136,17.72295730161347,12.02367134479092,7.1279267689972645,3.806498355648509,1.8730786405553117,0.8696052797645684,0.7172190622548893,0.185438279264601,0.0387920866405971,0.0051083254829534,0.0014519606397923,0.0002234600769643,0.0002051060827571,0.0001365423389209,3.440880943868499,0.7779608407404611,0.1347087578218842,0.0224898115251878,0.0033832863167388,0.0005029264345184,0.0002259152733005,5.386588105126648,1.0844005993029455,0.1822119473067104,0.0215524838154596,0.0089536100481086,0.0014604253523548,5.359803901093447,1.0094115419402718,0.1564517982610329,0.0226624983894927,0.0050392708024383,4.112212508979672,0.7264682355985951,0.1010510241163489,0.0143924869268393,2.643318500151803,0.4414692172999098,0.0609387150454402,1.5045442758025551,0.2458298009860872
39,44.0,561.9923627115727,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.073210735512554,9.962457336828164,11.905883140321828,13.97466517366757,16.02941269461998,17.893543121545537,20.00086339745909,21.9436937655812,10.025962178587166,11.923980054951146,14.020944270636818,16.00117717636961,17.9647735495638,19.9522294320092,21.99572809870501,12.015944767062305,13.948787676568736,15.97095182213755,17.950474818909854,20.007018988759626,21.95259455609609,14.019435105568157,15.917413761065635,18.028550735873107,19.962467763014374,22.019919166584398,15.98417786096669,17.94929155828183,20.051701195826244,21.932436817701305,18.005380390273,19.91103882722795,21.9423361667966,19.9602915774144,21.988446766004216,1.768368350813076,10.907825504740028,19.694285620877395,21.579000705683534,17.72320582233012,12.023679248272876,7.127712221876868,3.806381963427652,1.8731032939722665,0.8694958325591348,0.7172847266228888,0.185327167639317,0.0387386652280774,0.0051096510381421,0.0014651060521957,0.000224390574019,0.0002068461385881,0.0001354956762677,3.440716027868704,0.7780693882771101,0.13477152222034,0.0224501863257975,0.0033992656234841,0.0004954315598183,0.0002260494211031,5.3866580163868445,1.0843617076137615,0.1821938375194078,0.0215227811870983,0.0089738820372234,0.0014547948728793,5.359732711639155,1.0093728135632358,0.1564344244554605,0.0227509501877888,0.0051067187958381,4.112192732796061,0.726446560961124,0.1010057580625012,0.0143976560437153,2.6433751533724217,0.4414326099073626,0.0609972215250265,1.5043271730337908,0.2459252547241688
14,2.0,553.5029462267125,3.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.076327900332346,9.95375854754807,11.95466461133302,13.98796325631074,16.00464963983294,17.950369599492117,20.031854990669743,21.97461051393651,10.031061371183622,11.915542791610788,13.976263811508058,15.97481747645621,18.032242084625352,19.96021748811045,22.019681384287324,12.014940240744396,13.948733497305804,15.991564958132273,18.012300677405246,20.02029724906693,21.990196800304023,13.999472260156518,15.9770552967643,17.97529877370126,19.955635722699867,22.010128433914275,16.021858469339076,18.00940440948146,20.000599521665134,22.027339806633243,18.03406050179835,20.002308811405385,21.997110817829174,19.98617049388436,22.01863457423816,1.7699555981755235,10.908677271585226,19.693572866728672,21.575750767488454,17.718117171378868,12.027410056247968,7.123227304222817,3.804522957942877,1.873427745143024,0.8670887449026812,0.7149490492237193,0.1884767431893851,0.0355117554721839,0.0056609290577097,0.0016387003488794,0.0004816203235126,0.0001774553856635,7.39829962610297e-05,3.4406040904344968,0.7767115532372345,0.1368858564722729,0.0185440030097536,0.0042327183836514,0.0012653671044974,0.0003892105982437,5.389155455141824,1.0847492228050974,0.1805289696380418,0.0248242431135273,0.0064578262823524,0.0023312911089917,5.361060686609974,1.0033634625126495,0.1557912843381996,0.0217357181697191,0.0069366554530478,4.112245886742894,0.7241264827771066,0.1081637529406411,0.0151534725382037,2.643602442491033,0.4474721815849304,0.064850849937451,1.505608957337795,0.2479545895941942
13,2.0,551.6924242466865,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.076608653898226,9.9533135695867,11.956049059976834,13.987831607135988,16.003569758877163,17.952507523761767,20.032016538440303,21.97316391065919,10.030990540140769,11.91656124446722,13.976357793612092,15.975253149105487,18.03121021856752,19.95971421256826,22.01955163613896,12.014824190116585,13.948904195716658,15.99134921743306,18.012745830882594,20.02043134607926,21.99026223332683,13.999613157492975,15.976943720774562,17.97482763715996,19.955434914324947,22.009333452389654,16.021139417434405,18.010287217706136,20.001747637850407,22.027587707648408,18.03396394155484,20.00330414849943,21.99669508700284,19.986230278183893,22.01914254623757,1.769984536952772,10.908652032475782,19.69351531843553,21.575764853197267,17.717971972215942,12.02743561264404,7.123315920552177,3.8044490298678473,1.8733094260825969,0.8671461552386442,0.7150636525435262,0.1883498942977849,0.0354642330375475,0.0056515583497799,0.0016436520617028,0.0004856941908585,0.0001780227281168,7.517219988160075e-05,3.440719127467924,0.776675034270797,0.1368587692818328,0.0185053564426681,0.0042469362458554,0.0012721174104949,0.000391808673185,5.389240907751283,1.0846789637849017,0.1805187899388805,0.0247894004825227,0.006468869509007,0.0023125825622726,5.361166281955182,1.0034115761984794,0.1557251903741945,0.0216700724825348,0.0069141956470432,4.112222823785395,0.7240885491685654,0.1081942950404581,0.0151601301415598,2.64353527188205,0.4474840114773884,0.0648898641170804,1.505524695604336,0.2479725978375536
38,44.0,550.1543929928878,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.073236304963057,9.960785190169908,11.906681242868512,13.975266016910512,16.03007127072931,17.8938035643538,20.00153583840604,21.94291514017409,10.025862249405249,11.924474865034222,14.021625305220816,16.000545664833297,17.965934075221956,19.95341249089791,21.99528729858497,12.016174559442335,13.949656487567095,15.972584194319152,17.95117853017871,20.00659134409559,21.95333096934847,14.019914083525777,15.918203655777567,18.028851408589095,19.962418316948447,22.018652941841356,15.9861607844527,17.948276541485203,20.05280930280395,21.93382144587877,18.00474191847645,19.90950332991136,21.94311255735454,19.96042600484264,21.98799678222747,1.7683364975861269,10.907888429957223,19.694364607156235,21.57884944163104,17.723345881584372,12.023539701742449,7.127781058947865,3.80640560982341,1.8731255427806768,0.8696304611648704,0.717302249352017,0.1852810425787422,0.0388107627539686,0.0050738375172012,0.0014643388346753,0.0002263195330903,0.0002061028896379,0.0001349811969942,3.440653528662705,0.7781563931785462,0.1347365639385847,0.0224292349268202,0.0034369284015573,0.000495740863576,0.0002234518189392,5.386665098035485,1.0842710116383585,0.1820225421949606,0.0214713952999404,0.0091233334767213,0.0014369338244487,5.359718389069187,1.0094079705915595,0.1565535085849831,0.022747901872183,0.0051518518140975,4.112282249454245,0.7263250588046208,0.1010013213326672,0.0144147389806736,2.643449322455115,0.4414182087214953,0.0610069151647901,1.5043779999017437,0.2459365761378716
18,37.0,538.9551045481843,3.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.079899424374693,9.958690543811583,11.951798764352567,13.985254626977303,15.983282470194071,17.95537214905513,20.03315725511356,21.97612378851485,10.0307683971156,11.913584617608093,13.964403766240494,15.96685908126332,18.004918866536617,19.985378815641937,22.027285177562337,12.011084458819536,13.96806953190032,15.980259510878582,17.998597291523964,20.019687029146677,22.00150543468396,14.003467185945771,15.978958432995782,17.997308646814428,19.965802606888367,22.00834638583097,16.00359570789942,17.9990337269774,20.004268737944788,22.02020938282242,18.03447783682914,20.01835470722956,21.99756428183247,19.99091770563485,22.02491866475976,1.7715239247401442,10.906619140884445,19.693030489412543,21.57684848225149,17.721390312937835,12.029705084710049,7.119523931342657,3.803090549323182,1.8735112684201176,0.8676077249457051,0.7139953156111922,0.1874535660701593,0.0353491907291675,0.005947060174683,0.0015263843034704,0.0004974810945418,0.0001710012751401,0.0001000224105823,3.4431269008881715,0.7752138426283064,0.1396491170895784,0.0176380879778377,0.0041753073149328,0.0012452556521556,0.0004993579051044,5.38808809354809,1.086509267911092,0.1800446649687619,0.0246083597640627,0.006030468428993,0.0019441413901034,5.361639986438246,1.0037602289282377,0.1560430680545947,0.0219276303363821,0.0055540624364832,4.110717889319708,0.7231783145899903,0.1056486682064533,0.0165782898325948,2.6444860535250907,0.4476957558922469,0.063414869488002,1.5054763647995766,0.2493006544611
37,44.0,537.4537732924639,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.073478184171096,9.960334199084942,11.907479069869598,13.975866889447303,16.030729290756415,17.894621119947352,20.002804898906447,21.942669821481157,10.025377585811924,11.92496963294486,14.022307056235611,15.999474561426805,17.967094240535467,19.95459559324568,21.99484680929656,12.01640933317056,13.950525492909255,15.97421616834722,17.951882183042216,20.008866608457435,21.95358559908335,14.020393099932164,15.918993371660555,18.029152840117145,19.96236918624728,22.01738632191914,15.988811123754768,17.94797496535598,20.05391721389782,21.935205820823665,18.004103449711845,19.90797662000346,21.943484987422305,19.96056482397743,21.98754709040029,1.768304114460772,10.90799212808727,19.694253647056488,21.578698239711475,17.723485960060252,12.02345390004496,7.127849915676732,3.8064261203417824,1.873147764060083,0.8697651406440344,0.7172714553030328,0.1852666869674546,0.0388828478124965,0.0050728333160513,0.0014635725960064,0.0002259615345039,0.0002053595499558,0.000134466834591,3.4405909809644832,0.778227021733696,0.134609484094137,0.02240826717592,0.0034745874753268,0.0004960522370801,0.0002228820985208,5.386672227074541,1.084251457763417,0.1820610270273629,0.0214163558761317,0.0091241145321609,0.0014190742444248,5.359572092944305,1.0094431275421003,0.1566014437933169,0.0227448491680118,0.0051969984398708,4.11237173430955,0.7262058910694104,0.100994880516415,0.0144318583846965,2.643523491837041,0.4414038301979316,0.0609750949700928,1.5044442141685883,0.2460174526781808
12,2.0,533.3611367186663,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.076342594045677,9.9537886096466,11.957311968433372,13.988570515188188,16.004360205609643,17.95123512001211,20.0310222178258,21.972532137663265,10.030982598767466,11.917052217797089,13.977077529327811,15.974817006333764,18.03234958978572,19.958994366485875,22.019300867295144,12.014617894226843,13.948534230641844,15.99237801826538,18.01144997339797,20.020052221814645,21.991527322967308,13.999324947699604,15.976835407187195,17.975200518190302,19.954205161289547,22.007962029758776,16.020024457072314,18.008757232290108,20.000818483313992,22.026748746187195,18.03500178110785,20.00279862835717,21.99766902512581,19.98517433898629,22.020251661113896,1.7700650484610931,10.9085083679258,19.693459869619,21.575709248789668,17.717921180748508,12.027549874216488,7.1231824156422014,3.804393013032772,1.8733692867433915,0.867217198320243,0.714964320738406,0.1883918042106289,0.0354169468293598,0.0056309160694041,0.0016258337447506,0.0004833927744939,0.0001796652713976,7.390991373230222e-05,3.440754648285178,0.7767763473839433,0.136876312420863,0.0185370731951166,0.0042384350159939,0.0012871722478647,0.000395461573159,5.389344604087659,1.084748743349832,0.1804350376445052,0.0247741928586188,0.0065428369636695,0.0022960732900871,5.36097603559639,1.0033422194927002,0.1556477576613155,0.02157539015289,0.0069596346579548,4.112281493736194,0.7240309678933612,0.1083818629358032,0.0152042079798788,2.643422738358712,0.4474567447136428,0.065014639734679,1.50558399165248,0.2479150228829975
17,37.0,531.2450027298755,3.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.080287190456902,9.95888196544644,11.951483997696918,13.984977436159554,15.983198647179618,17.95552991142067,20.033158048761493,21.975930201842505,10.030751934301112,11.913611168829789,13.964377778836312,15.967285658962048,18.005395287120066,19.985939758887028,22.02743210497712,12.011080537818442,13.968277014090283,15.979921957567548,17.99887227233578,20.01944138416576,22.000834794679584,14.003296761911663,15.979583120065412,17.997835545084975,19.965252463439796,22.00793818809916,16.003880838381328,17.99914612042875,20.00519666345977,22.0199368722347,18.034544705665223,20.01799321492673,21.99776138884433,19.991301134944127,22.024964967611844,1.7715891280405751,10.906633989929578,19.693033290947398,21.57691950015001,17.721407286568347,12.029878011165154,7.119578839898377,3.803095121388663,1.873525109599938,0.8676035973345944,0.7140418259864586,0.1873649533866926,0.0353605052684238,0.0059318026384075,0.0015321473929226,0.0005058205073413,0.0001685811937287,0.0001003256747922,3.443068502334038,0.7752612644417438,0.1396578332667845,0.0176102559413917,0.0041843838199098,0.0012510384070206,0.0004962428681625,5.388058526381355,1.0865226518177795,0.1800390111764112,0.0245663140290178,0.0060694136398132,0.001927313586021,5.361718788724891,1.0037566281440602,0.1560403147734141,0.0218288411108459,0.0055507447299364,4.110819249580907,0.7232007536363664,0.1056047795912164,0.016569218828137,2.644603362353754,0.4476829858676737,0.0634662184726859,1.50546187993409,0.2493159507274689
16,37.0,530.4178276017318,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.080351804170663,9.959535831096376,11.95070180009746,13.985318933910705,15.984048512555267,17.955488356177376,20.03315835605189,21.975621734048467,10.030422524665614,11.913409405178989,13.96391641541726,15.966977176882711,18.0067879590638,19.98586694025544,22.027044703237586,12.011320076650478,13.968012359169306,15.980587457016297,17.998459536047633,20.0197815133594,22.000968851678277,14.003170893861633,15.979875040045046,17.997416145163683,19.96501844573092,22.00851460647144,16.003592054972987,17.998339735439348,20.00476858275958,22.01951848813981,18.033745834173267,20.01835399624422,21.99839165100921,19.992142845122,22.02463225452212,1.7715334537210374,10.906618126125675,19.69301947389569,21.576691333990688,17.721377969745742,12.029866547881838,7.1196610653336245,3.803157914859139,1.8735214203453936,0.8674545781636493,0.7139704060725914,0.1874511522314352,0.0353599736593141,0.0059457624379457,0.0015479734130469,0.0005038350996115,0.0001680162152212,0.0001008314459875,3.4430118450117253,0.7752695926766338,0.1396483472257597,0.0176287514246138,0.0041844482104319,0.0012560096805595,0.0004919863845926,5.388256995862895,1.0864323145007355,0.1800061791211322,0.0246229390691845,0.0060498923956047,0.0019407953112833,5.361782622568035,1.003688066733938,0.1559802941198186,0.0219008234864699,0.0055631668668266,4.110803255320009,0.7232205581822037,0.1056786803744164,0.0164847475444861,2.644568703429235,0.447598001628101,0.0634503111496049,1.5055994223965723,0.2494538251245133
